image,gt_area_px,gt_ratio_pct,pred_area_px,tp,fp,fn,dice,iou,precision,recall,boundary_fp,boundary_fn,thin_fn,n_gt_components,n_fragmented
20200116073250Uh,299,0.1141,0,0,0,299,0.0,0.0,1.0,0.0,0,613,278,1,0
20190626025430Lh,129,0.0492,0,0,0,129,0.0,0.0,1.0,0.0,0,230,90,2,0
20190927165910Mh,94,0.0359,0,0,0,94,0.0,0.0,1.0,0.0,0,268,94,1,0
20190626025430Lh,129,0.0492,0,0,0,129,0.0,0.0,1.0,0.0,0,230,90,2,0
20171007133710Th,101,0.0385,0,0,0,101,0.0,0.0,1.0,0.0,0,265,92,6,0
20181023232430Lh,78,0.0298,0,0,0,78,0.0,0.0,1.0,0.0,0,131,53,1,0
20110728084714Th,213,0.0813,144,24,120,189,0.1345,0.0721,0.1667,0.1127,248,449,183,4,1
20210329114430Ch,92,0.0351,302,38,264,54,0.1929,0.1067,0.1258,0.413,525,209,52,5,0
20210814044930Lh,558,0.2129,209,77,132,481,0.2008,0.1116,0.3684,0.138,298,559,64,5,0
20210222222850Bh,59,0.0225,17,11,6,48,0.2895,0.1692,0.6471,0.1864,8,174,48,6,0
20170222133710Th,50,0.0191,215,43,172,7,0.3245,0.1937,0.2,0.86,359,13,7,2,0
20170222133710Th,50,0.0191,215,43,172,7,0.3245,0.1937,0.2,0.86,359,13,7,2,0
20171103222630Lh,307,0.1171,81,63,18,244,0.3247,0.1938,0.7778,0.2052,12,521,223,4,0
20171005133730Ch,365,0.1392,88,74,14,291,0.3267,0.1953,0.8409,0.2027,73,660,266,5,0
20160107133714Th,134,0.0511,147,53,94,81,0.3772,0.2325,0.3605,0.3955,191,176,76,2,0
20151128133714Th,269,0.1026,121,83,38,186,0.4256,0.2704,0.686,0.3086,115,412,183,4,0
20110617063134Lh,678,0.2586,1258,419,839,259,0.4329,0.2762,0.3331,0.618,1122,502,231,11,0
20170801164710Mh,621,0.2369,223,184,39,437,0.436,0.2788,0.8251,0.2963,96,787,343,9,1
20140531195834Ch,92,0.0351,289,87,202,5,0.4567,0.2959,0.301,0.9457,550,11,4,1,0
20140111224134Lh,764,0.2914,2456,752,1704,12,0.4671,0.3047,0.3062,0.9843,3277,127,12,12,0
20210624133950Bh,51,0.0195,102,36,66,15,0.4706,0.3077,0.3529,0.7059,212,21,15,1,1
20131128192214Mh,2014,0.7683,833,689,144,1325,0.484,0.3193,0.8271,0.3421,401,1974,922,11,2
20131128192214Mh,2014,0.7683,833,689,144,1325,0.484,0.3193,0.8271,0.3421,401,1974,922,11,2
20170804140650Bh,57,0.0217,102,39,63,18,0.4906,0.325,0.3824,0.6842,158,54,18,2,0
20130502063134Lh,1324,0.5051,1123,624,499,700,0.51,0.3423,0.5557,0.4713,982,1205,634,13,1
20170310133730Ch,335,0.1278,243,150,93,185,0.519,0.3505,0.6173,0.4478,218,363,150,3,1
20160518011654Uh,364,0.1389,174,143,31,221,0.5316,0.362,0.8218,0.3929,50,535,200,9,0
20161002225034Lh,422,0.161,259,181,78,241,0.5316,0.362,0.6988,0.4289,107,491,235,5,1
20210812044930Lh,100,0.0381,118,58,60,42,0.5321,0.3625,0.4915,0.58,165,131,42,3,0
20180506140230Ch,172,0.0656,354,140,214,32,0.5323,0.3627,0.3955,0.814,269,79,27,1,0
20120720085114Th,130,0.0496,252,105,147,25,0.5497,0.3791,0.4167,0.8077,336,63,25,4,0
20120720085114Th,130,0.0496,252,105,147,25,0.5497,0.3791,0.4167,0.8077,336,63,25,4,0
20211119103130Ch,559,0.2132,395,264,131,295,0.5535,0.3826,0.6684,0.4723,292,536,271,5,0
20161223133734Ch,716,0.2731,446,322,124,394,0.5542,0.3833,0.722,0.4497,138,891,379,12,1
20110301082654Uh,85,0.0324,41,35,6,50,0.5556,0.3846,0.8537,0.4118,7,134,49,2,0
20120901114934Ch,1570,0.5989,1021,726,295,844,0.5604,0.3893,0.7111,0.4624,744,1396,510,16,1
20140501195814Mh,831,0.317,1719,727,992,104,0.5702,0.3988,0.4229,0.8748,1488,393,89,8,0
20110509121334Ch,710,0.2708,807,435,372,275,0.5735,0.402,0.539,0.6127,689,521,238,16,1
20150819082014Th,307,0.1171,226,153,73,154,0.5741,0.4026,0.677,0.4984,76,367,151,8,2
20150819082014Th,307,0.1171,226,153,73,154,0.5741,0.4026,0.677,0.4984,76,367,151,8,2
20130905073714Th,1126,0.4295,1962,892,1070,234,0.5777,0.4062,0.4546,0.7922,1493,636,205,15,0
20181101230010Mh,56,0.0214,34,26,8,30,0.5778,0.4062,0.7647,0.4643,12,76,28,2,0
20160103133734Ch,904,0.3448,736,489,247,415,0.5963,0.4248,0.6644,0.5409,436,1032,390,11,0
20160215175514Mh,603,0.23,539,347,192,256,0.6077,0.4365,0.6438,0.5755,356,556,251,9,2
20140604195854Bh,509,0.1942,307,249,58,260,0.6103,0.4392,0.8111,0.4892,69,740,246,19,1
20110215083814Th,409,0.156,498,279,219,130,0.6152,0.4443,0.5602,0.6822,286,268,121,13,0
20110215083814Th,409,0.156,498,279,219,130,0.6152,0.4443,0.5602,0.6822,286,268,121,13,0
20110215083814Th,409,0.156,498,279,219,130,0.6152,0.4443,0.5602,0.6822,286,268,121,13,0
20140603070414Th,1036,0.3952,660,523,137,513,0.6167,0.4459,0.7924,0.5048,239,1065,489,8,2
20120603123034Ch,737,0.2811,592,413,179,324,0.6215,0.4509,0.6976,0.5604,204,601,305,5,1
20140128174554Bh,1689,0.6443,1407,966,441,723,0.624,0.4535,0.6866,0.5719,842,1422,626,35,5
20160530234734Lh,554,0.2113,556,349,207,205,0.6288,0.4586,0.6277,0.63,593,225,99,4,1
20210731074710Th,373,0.1423,634,317,317,56,0.6296,0.4594,0.5,0.8499,237,244,55,2,0
