Image_ID,File_Name,GT_Total_Px,GT_Limb_Px,GT_Eroded_Annulus_Px,Dice_093_Whole,Rec_093_Whole,Dice_093_Limb,Rec_093_Limb,Dice_097_Whole,Rec_097_Whole,Dice_097_Limb,Rec_097_Limb,Dice_100_Whole,Rec_100_Whole,Dice_100_Limb,Rec_100_Limb
010401-20210817165030Mh,20210817165030Mh.jpeg,222,0,0,0.7417,0.7568,1.0000,0.0000,0.7244,0.7162,1.0000,0.0000,0.7166,0.7117,1.0000,0.0000
010403-20110301082654Uh,20110301082654Uh.jpeg,85,0,0,0.5556,0.4118,1.0000,0.0000,0.5574,0.4000,1.0000,0.0000,0.5410,0.3882,1.0000,0.0000
030101-20160103133734Ch,20160103133734Ch.jpeg,904,0,0,0.5882,0.5531,1.0000,0.0000,0.5802,0.5199,1.0000,0.0000,0.5766,0.5243,1.0000,0.0000
010102-20140513012554Uh,20140513012554Uh.jpeg,998,0,0,0.7172,0.8677,1.0000,0.0000,0.7312,0.8557,1.0000,0.0000,0.7314,0.8527,1.0000,0.0000
050202-20140128174554Bh,20140128174554Bh.jpeg,1689,0,0,0.6212,0.5690,1.0000,0.0000,0.6080,0.5376,1.0000,0.0000,0.6240,0.5565,1.0000,0.0000
010202-20140111224134Lh,20140111224134Lh.jpeg,764,0,0,0.4646,0.9843,1.0000,0.0000,0.4756,0.9843,1.0000,0.0000,0.4720,0.9830,1.0000,0.0000
010402-20150625082034Lh,20150625082034Lh.jpeg,725,0,0,0.8774,0.8786,1.0000,0.0000,0.8637,0.8345,1.0000,0.0000,0.8573,0.8248,1.0000,0.0000
050103-20130218220314Mh,20130218220314Mh.jpeg,556,0,0,0.6693,0.8993,1.0000,0.0000,0.6671,0.8885,1.0000,0.0000,0.7353,0.7644,1.0000,0.0000
050101-20140710083214Th,20140710083214Th.jpeg,1160,0,0,0.6771,0.8741,1.0000,0.0000,0.6985,0.8707,1.0000,0.0000,0.7080,0.8664,1.0000,0.0000
040201-20160215175514Mh,20160215175514Mh.jpeg,603,0,0,0.6039,0.5688,1.0000,0.0000,0.6097,0.5622,1.0000,0.0000,0.6179,0.5605,1.0000,0.0000
010203-20170329133730Ch,20170329133730Ch.jpeg,676,0,0,0.8117,0.8225,1.0000,0.0000,0.7941,0.7589,1.0000,0.0000,0.7985,0.7707,1.0000,0.0000
010403-20141112195854Bh,20141112195854Bh.jpeg,987,0,0,0.8075,0.8673,1.0000,0.0000,0.7959,0.8176,1.0000,0.0000,0.7947,0.8197,1.0000,0.0000
020401-20170417014150Uh,20170417014150Uh.jpeg,186,0,0,0.8556,0.8602,1.0000,0.0000,0.8291,0.7957,1.0000,0.0000,0.8301,0.8011,1.0000,0.0000
020401-20150617161314Mh,20150617161314Mh.jpeg,1787,0,0,0.7830,0.8276,1.0000,0.0000,0.7765,0.7941,1.0000,0.0000,0.7697,0.7661,1.0000,0.0000
040401-20211119103130Ch,20211119103130Ch.jpeg,559,0,0,0.5564,0.4812,1.0000,0.0000,0.5297,0.4311,1.0000,0.0000,0.5244,0.4222,1.0000,0.0000
060102-20210329114430Ch,20210329114430Ch.jpeg,92,0,0,0.1518,0.4239,1.0000,0.0000,0.2156,0.3913,1.0000,0.0000,0.1884,0.3696,1.0000,0.0000
050302-20181102104630Ch,20181102104630Ch.jpeg,29,0,0,0.6517,1.0000,1.0000,0.0000,0.9180,0.9655,1.0000,0.0000,0.9355,1.0000,1.0000,0.0000
050102-20150216171714Mh,20150216171714Mh.jpeg,1687,0,0,0.7881,0.7925,1.0000,0.0000,0.7804,0.7659,1.0000,0.0000,0.7747,0.7635,1.0000,0.0000
